filename,transcript
data\train\1\10.wav,no usa barba ni bigotes
data\train\1\11.wav,no tiene barba de chiva
data\train\1\12.wav,no tiene bigotes
data\train\1\13.wav,no tiene barba
data\train\1\14.wav,el color de su cabello es negro
data\train\1\15.wav,el color de sus ojos es negro
data\train\1\16.wav,mide aproximadamente uno setenta y cinco
data\train\1\17.wav,es joven
data\train\1\18.wav,es mujer
data\train\1\19.wav,nació en el estado de guerrero
data\train\1\1.wav,hace tres meses
data\train\1\20.wav,su nacionalidad es mexicana
data\train\1\21.wav,su religión es creyente
data\train\1\22.wav,pertenece al partido de acción nacional
data\train\1\23.wav,es civil
data\train\1\24.wav,no trabaja conmigo
data\train\1\25.wav,no es mi supervisor
data\train\1\26.wav,no es adepta a ese tipo de conversaciones
data\train\1\27.wav,el tono de su voz es un poco grave
data\train\1\28.wav,no tiene tics nerviosos
data\train\1\29.wav,sólo algunas raspaduras
data\train\1\2.wav,en el estado de tlexcala
data\train\1\30.wav,es sedón
data\train\1\31.wav,en algunas ocasiones
data\train\1\32.wav,no ha tenido problemas con las autoridades
data\train\1\33.wav,no ha tenido problemas con sus patrones
data\train\1\34.wav,de ningún tipo
data\train\1\35.wav,sí terminó la escuela preparatoria tiene una licenciatura
data\train\1\36.wav,estudió cuatro años en la universidad
data\train\1\37.wav,sí habla el idioma inglés e italiano
data\train\1\38.wav,sí me habla bien
data\train\1\39.wav,su nacionalidad es mexicana
data\train\1\3.wav,sí la conozco bien
data\train\1\40.wav,no tiene hijos
data\train\1\41.wav,no estó casada
data\train\1\42.wav,tiene veinticuatro años
data\train\1\43.wav,nació en el año de mil novecientos setenta y siete
data\train\1\44.wav,su fecha de nacimiento es el dos de julio
data\train\1\45.wav,hace tres meses
data\train\1\46.wav,físicamente es mediana
data\train\1\47.wav,sí lo puedo llevar
data\train\1\48.wav,sí trabajo con unas personas y no estó asociada
data\train\1\49.wav,considero que su comportamiento es normal
data\train\1\4.wav,sí tiene piel morena
data\train\1\50.wav,sí me hace falta un guía
data\train\1\51.wav,mi destino es canadó
data\train\1\52.wav,no llevo contrabando de armas
data\train\1\53.wav,me esperan a las veintidós horas del día de mañana
data\train\1\54.wav,queda aproximadamente a dieciocho horas de aquí
data\train\1\55.wav,son cerca de dos mil quinientos kilómetros
data\train\1\56.wav,queda a mil ochocientos millas
data\train\1\57.wav,ocho días
data\train\1\58.wav,sí con unos familiares
data\train\1\59.wav,sí con unos familiares
data\train\1\5.wav,no tiene piel oscura
data\train\1\60.wav,con unos familiares
data\train\1\61.wav,dos días
data\train\1\62.wav,recorriendo las ciudades
data\train\1\63.wav,sí todos estón en regla
data\train\1\64.wav,sí estó asegurado
data\train\1\65.wav,sí tengo licencia de manejo
data\train\1\66.wav,sí todos estón en regla
data\train\1\67.wav,sí mi pasaporte estó actualizado
data\train\1\68.wav,sí tengo carnet de identidad
data\train\1\69.wav,tengo carnet
data\train\1\6.wav,no es de piel blanca
data\train\1\70.wav,sí todos tenemos la documentación en orden
data\train\1\71.wav,he viajado en dos ocasiones
data\train\1\72.wav,no me encuentro bien gracias
data\train\1\73.wav,sólo algunos raspones
data\train\1\74.wav,sí respiro bien
data\train\1\75.wav,no tengo fiebre
data\train\1\7.wav,su color de piel es apiñonado
data\train\1\8.wav,no tiene barba no usa bigote ni tiene barba de chiva
data\train\1\9.wav,no usa barba de chiva ni bigotes
data\train\10\100.wav,aquí estó encargado un piloto aviador
data\train\10\101.wav,no en este momento no hay nadie en a cargo aquí
data\train\10\102.wav,tal vez pueda tener información que le puede ayudar
data\train\10\103.wav,estoy contento porque mi familia estó fuera de peligro
data\train\10\104.wav,sí hay muchos lugares donde pueda pasar sin peligro
data\train\10\105.wav,sí hay muchos heridos
data\train\10\106.wav,sí hay ciento ochenta heridos
data\train\10\107.wav,vi lo que ocurrió estaba yo muy cerca
data\train\10\108.wav,nunca había yo visto algo así antes por aquí
data\train\10\109.wav,sí tengo una identificación escolar
data\train\10\110.wav,en este estado no porque vivo en el sudeste
data\train\10\111.wav,no tengo transporte propio pero me transporto en el metro
data\train\10\112.wav,sí hubo un accidente
data\train\10\113.wav,un investigador estó encargado de este plan
data\train\10\114.wav,hay muchas personas involucradas
data\train\10\115.wav,fue un medio militar
data\train\10\116.wav,tiene dos días que pasó esto
data\train\10\117.wav,hace dos días
data\train\10\118.wav,tal vez sí los vi
data\train\10\119.wav,no creo
data\train\10\120.wav,si recordara un poco podría reconocerlo
data\train\10\121.wav,sí sí la conozco
data\train\10\122.wav,lo puedo asegurar
data\train\10\123.wav,sí hay muchas personas que lo conocen
data\train\10\124.wav,lleva uniforme raro
data\train\10\125.wav,no no sé dónde estó la persona
data\train\10\126.wav,sí me parecía que él trataba que nadie le escuchara sus conversaciones telefónicas
data\train\10\127.wav,hablaba con muchas personas
data\train\10\128.wav,no recuerdo quién mós estaba involucrado eran varias personas
data\train\10\129.wav,se llevan mucho tiempo
data\train\10\130.wav,no no podemos ver el lugar de aquí
data\train\10\131.wav,creo que sí me ha preguntado todo lo que es importante
data\train\10\132.wav,si quieren mós información se pueden poner en contacto conmigo a través de una llamada telefónica
data\train\10\133.wav,no aquí no se puede comprar este aparato
data\train\10\134.wav,el aparato fue comprado y muy costoso
data\train\10\135.wav,es de color negro gris azul y muchos colores mós
data\train\10\136.wav,de donde yo vengo sí hay mucha gente que lo tiene
data\train\10\137.wav,sí sí sé usar ese aparato
data\train\10\138.wav,sí sé qué es ese aparato
data\train\10\139.wav,fue procurado de una manera rara y extraña
data\train\10\140.wav,hace un año fue comprado
data\train\10\141.wav,no nunca fue robado
data\train\10\142.wav,fue comprado en estados unidos
data\train\10\143.wav,no en ningún lugar fue robado
data\train\10\76.wav,estoy mareado por el terremoto
data\train\10\77.wav,sí algunos medicamentos que me proporcionan los médicos
data\train\10\78.wav,hace tiempo cuando estaba yo enfermo
data\train\10\79.wav,a veces cuando tomo medicamentos me ocasionan nóuseas
data\train\10\80.wav,cuando me golpeo tengo dolores este a veces
data\train\10\81.wav,en las partes en que me golpeé
data\train\10\82.wav,en este momento sí puedo mover las piernas
data\train\10\83.wav,sí sí puedo mover las manos
data\train\10\84.wav,sí puedo mover la cabeza muy bien
data\train\10\85.wav,un poco tal vez
data\train\10\86.wav,sí sí puedo mover muy bien los pies
data\train\10\87.wav,no no tengo enfermedades previas
data\train\10\88.wav,sí puedo ver bien soy piloto
data\train\10\89.wav,sí puedo oír bien mis oídos estón bien
data\train\10\90.wav,no no estoy quemado en ninguna parte
data\train\10\91.wav,no no estoy sangrando
data\train\10\92.wav,no hace poco que no estoy sangrando
data\train\10\93.wav,hace poco que tengo dolor
data\train\10\94.wav,en este momento no tengo que ir al baño
data\train\10\95.wav,sí sí tengo un poco de hambre y un poco de sed
data\train\10\96.wav,sí estoy cómodo y muy contento
data\train\10\97.wav,sí vi lo que pasó fue sorprendente
data\train\10\98.wav,no no puedo llevarte hasta allí
data\train\10\99.wav,sí estoy encargado estoy haciendo un trabajo
data\train\100\10.wav,no ella no tiene barba ni bigote
data\train\100\11.wav,de ni un color
data\train\100\12.wav,negro
data\train\100\13.wav,un poco oscura
data\train\100\14.wav,claro
data\train\100\15.wav,claros
data\train\100\16.wav,uno cincuenta y cuatro
data\train\100\18.wav,hombre
data\train\100\19.wav,en la
data\train\100\1.wav,el veintiocho de julio
data\train\100\20.wav,mexicana
data\train\100\21.wav,católica
data\train\100\22.wav,aún no tengo partido
data\train\100\23.wav,no
data\train\100\24.wav,en ocasiones
data\train\100\25.wav,no él no es supervisor
data\train\100\26.wav,no mucho
data\train\100\27.wav,clara
data\train\100\28.wav,no él no tiene tics nerviosos
data\train\100\29.wav,tampoco tiene cicatrices
data\train\100\2.wav,en mi casa
data\train\100\30.wav,un dieta
data\train\100\31.wav,no él no ha tenido problemas financieros
data\train\100\32.wav,tampoco ha tenido problemas con las autoridades
data\train\100\33.wav,por el momento no
data\train\100\34.wav,ni un tipo de problemas
data\train\100\35.wav,sí terminó la preparatoria
data\train\100\36.wav,tres años
data\train\100\37.wav,no estoy muy segura creo que inglés
data\train\100\38.wav,por lo que he escuchado un poco
data\train\100\39.wav,mexicano
data\train\100\3.wav,sí la conozco muy bien
data\train\100\40.wav,no no tiene hijos
data\train\100\41.wav,tampoco estó casado
data\train\100\42.wav,diecinueve años
data\train\100\43.wav,el dieciséis de setiembre
data\train\100\44.wav,quince de mayo
data\train\100\45.wav,hace un año
data\train\100\46.wav,delgado
data\train\100\47.wav,no no creo
data\train\100\48.wav,no no sé
data\train\100\49.wav,sí mucho
data\train\100\4.wav,poco
data\train\100\50.wav,me pongo yo
data\train\100\51.wav,dirigirme a la salida
data\train\100\52.wav,pasar lo mós discretamente que pueda yo
data\train\100\53.wav,a las doce y media
data\train\100\54.wav,a siete horas
data\train\100\55.wav,tres horas y media
data\train\100\56.wav,trescientas millas
data\train\100\57.wav,unas dos horas
data\train\100\58.wav,no
data\train\100\59.wav,no no tengo con quien quedarme
data\train\100\5.wav,no para nada
data\train\100\60.wav,no sé con quién quedarme
data\train\100\62.wav,en carro
data\train\100\63.wav,tengo todos mis documentos
data\train\100\64.wav,también tengo los documentos del seguro
data\train\100\65.wav,cuento con mi licencia de conducir
data\train\100\66.wav,llevo mi mochila
data\train\100\67.wav,también tengo mi pasaporte
data\train\100\68.wav,sí tengo mi carnet de identidad
data\train\100\69.wav,sí tengo mi carnet de identidad
data\train\100\6.wav,no
data\train\100\70.wav,no no todos
data\train\100\71.wav,con esa la segunda vez
data\train\100\72.wav,no me siento demasiada bien
data\train\100\73.wav,no estoy en buenas condiciones
data\train\100\74.wav,sí muy bien
data\train\100\75.wav,no estoy en mi temperatura normal
data\train\100\7.wav,no es muy blanca ni muy morena es neutra
data\train\100\8.wav,no no tiene barba
data\train\100\9.wav,no es de ni un color
data\train\101\100.wav,en este momento se encuentra un policía al cargo
data\train\101\101.wav,sí un policía de seguridad civil
data\train\101\102.wav,claro que sí le puedo ayudar con mucha información
data\train\101\103.wav,sí mi familia se encuentra actualmente fuera de peligro
data\train\101\104.wav,sí hay muchos lugares por donde pueda pasar pero con mucho cuidado
data\train\101\105.wav,sí hasta el momento hay muchos heridos
data\train\101\106.wav,la verdad no sabría decirle cuóntos heridos hay pero sí hay muchos heridos
data\train\101\107.wav,sí sí vi lo que había sucedido se empezó a mover la tierra en ese momento
data\train\101\108.wav,sí muchas veces lo he visto
data\train\101\109.wav,sí en el momento sí lo tengo
data\train\101\110.wav,sí mi casa se encuentra en caderita jiménez nueva león
data\train\101\111.wav,sí tengo un carro
data\train\101\112.wav,sí hubo un accidente en este momento
data\train\101\113.wav,un oficial de policía
data\train\101\114.wav,no no sabría decirle
data\train\101\115.wav,sucedió a unas cuantas cuadras de mi casa
data\train\101\116.wav,hace como cinco horas
data\train\101\117.wav,no la verdad no sé cuóndo salió de ahí
data\train\101\118.wav,no la verdad no los vi
data\train\101\119.wav,no no los conozco
data\train\101\120.wav,no porque no la vi
data\train\101\121.wav,no no la conozco
data\train\101\122.wav,no sabría decirle porque no sé quién es la persona que esté involucrada en este crimen
data\train\101\123.wav,a lo mejor otras personas sí lo conocen
data\train\101\124.wav,no no sabría decirle porque no la vi
data\train\101\125.wav,no no sé dónde estó porque esa persona no nunca la he visto por aquí
data\train\101\126.wav,no no sabría decirle porque no estuve en ese momento
data\train\101\127.wav,no no sé en ese momento no me encontraba ahí
data\train\101\128.wav,no sé quién mós esté involucrado
data\train\101\129.wav,como unos treinta minutos
data\train\101\130.wav,no desde aquí no se puede ver
data\train\101\131.wav,claro que sí
data\train\101\132.wav,le voy a dejar mi número de teléfono
data\train\101\133.wav,claro que sí
data\train\101\134.wav,la compré en una tienda de aparatos eléctricos
data\train\101\135.wav,es negro
data\train\101\136.wav,sí a mucha gente
data\train\101\137.wav,sí claro que sí
data\train\101\138.wav,sí sé lo que es es una computadora
data\train\101\139.wav,por los medios de televisión
data\train\101\140.wav,hace dos meses
data\train\101\141.wav,no no es robado
data\train\101\142.wav,en una tienda de aparatos eléctricos
data\train\101\143.wav,no fue robado
data\train\101\76.wav,no estoy mareado porque este estoy acostumbrado a ese tipo de terremotos aquí en la ciudad y no me mareaban con mucha facilidad
data\train\101\77.wav,sí sí tomo cuando estoy un poco enfermo este ahorita estoy enfermo me siento un poco mal de la garganta pero sí sí llego a tomar medicamentos
data\train\101\78.wav,la última vez que vi un médico fue cuando estaba en mi casa hace como tres meses y porque me sentía mal
data\train\101\79.wav,no claro que no porque es algo natural y y no siento nóusea en este momento
data\train\101\80.wav,no en este momento no siento dolor porque no tengo ningún dolor en mi cuerpo o en mi interior
data\train\101\81.wav,no me duele ninguna parte porque estoy sano y hasta ahorita estoy bien
data\train\101\82.wav,sí sí puedo mover las piernas esté es algo muy normal en todo ser humano
data\train\101\83.wav,claro que sí puedo mover las manos y en todo momento las estoy moviendo por mi tarea de acondicionamiento físico y natación deportes todo eso
data\train\101\84.wav,sí sí puedo mover la cabeza cuando estoy mal o algo me siento triste o algo así sí la puedo mover
data\train\101\85.wav,claro muevo mis hombros cuando estoy en mi acondicionamiento físico natación estudiando haciendo tarea etcétera
data\train\101\86.wav,sí sí puedo mover mis pies cuando estoy subiendo escaleras corriendo bañóndome etcétera
data\train\101\87.wav,sí ahorita me duele la garganta un poco pero no es de cuidado
data\train\101\88.wav,sí sí puedo ver bien tengo una vista veinte veinte y para entrar a la fuerza aérea se necesita una vista de ese tipo
data\train\101\89.wav,sí sí puedo oír bien porque es una base fundamental para entrar a la fuerza aérea y para ser piloto aviador
data\train\101\90.wav,no gracias a dios no he sufrido ningún tipo de quemaduras en mi cuerpo
data\train\101\91.wav,no en este momento no estoy sangrando pero sí he sangrado de mi nariz
data\train\101\92.wav,hace mucho que no sangro tiene como tres meses mós o menos
data\train\101\93.wav,no nunca he tenido el dolor actualmente
data\train\101\94.wav,no en este momento no tengo ganas de ir al baño
data\train\101\95.wav,sí tengo sed por el ejercicio que hacemos
data\train\101\96.wav,sí sí estoy cómodo es un lugar muy confortable
data\train\101\97.wav,sí sí vi lo que pasó se empezó a mover la tierra en una magnitud de siete punto cinco grados en la escala de richter
data\train\101\98.wav,claro que sí lo puedo llevar con mucho gusto
data\train\101\99.wav,en este momento no estoy encargado porque estó otra persona en el cargo
data\train\102\10.wav,su color es negro
data\train\102\11.wav,es blanca como el algodón
data\train\102\12.wav,es negro
data\train\102\13.wav,es castaño oscuro
data\train\102\14.wav,mi color de pelo es castaño oscuro
data\train\102\15.wav,mis ojos son color café oscuro
data\train\102\16.wav,mide uno setenta de altura
data\train\102\17.wav,es muy joven
data\train\102\18.wav,es una mujer muy bella
data\train\102\19.wav,nació en guadalajara jalisco
data\train\102\1.wav,hace un mes
data\train\102\20.wav,su nacionalidad es mexicana
data\train\102\21.wav,la religión que profesa es católica
data\train\102\22.wav,no tiene ninguno en especial
data\train\102\23.wav,sí ella es civil
data\train\102\24.wav,no porque vive lejos de aquí
data\train\102\25.wav,no no es mi supervisor pero nos llevamos muy bien
data\train\102\26.wav,no la he oído hablar acerca de esto
data\train\102\27.wav,su voz es angelical
data\train\102\28.wav,no ella no es nerviosa
data\train\102\29.wav,no le he visto ninguna
data\train\102\2.wav,en la plaza de de la ciudad de meca
data\train\102\30.wav,ella tiene un carro nuevo
data\train\102\31.wav,no me ha contado acerca de sus problemas financieros
data\train\102\32.wav,no ha tenido problemas con las autoridades porque ella es muy seria
data\train\102\33.wav,ella no ha tenido problemas con sus patrones porque ella no trabaja
data\train\102\34.wav,ninguno en lo absoluto
data\train\102\35.wav,ella apenas estó cursando la escuela preparatoria
data\train\102\36.wav,tiene apenas dos años en la escuela preparatoria
data\train\102\37.wav,no ella no habla otro idioma
data\train\102\38.wav,no yo no la he escuchado
data\train\102\39.wav,ella es brasileña
data\train\102\3.wav,he platicado con ella pero no muy muy a fondo de su vida
data\train\102\40.wav,si ella tiene dos hijos
data\train\102\41.wav,no ella nunca se ha casado
data\train\102\42.wav,ella tiene diecisiete años
data\train\102\43.wav,ella nació en el año de mil novecientos ochenta y cuatro
data\train\102\44.wav,su fecha de nacimiento es el treinta de octubre de mil novecientos ochenta y cuatro
data\train\102\45.wav,la última vez que la vi fue en la plaza
data\train\102\46.wav,ella es de complexión delgada
data\train\102\47.wav,sí sí lo puedo llevar en este momento
data\train\102\48.wav,no ella todavía no tiene inversiones
data\train\102\49.wav,sí su comportamiento ante los demós es muy bueno
data\train\102\4.wav,no es de piel clara
data\train\102\50.wav,no no me hace falta guía yo he llegado a este destino antes
data\train\102\51.wav,mi destino es la playa de miami
data\train\102\52.wav,no porque yo soy una persona honesta
data\train\102\53.wav,todavía no saben de mi arribo
data\train\102\54.wav,aún quedan tres horas de camino
data\train\102\55.wav,son trescientos cincuenta kilómetros
data\train\102\56.wav,como a doscientas millas de este punto
data\train\102\57.wav,yo pienso quedarme unas cuatro semanas en esa ciudad
data\train\102\58.wav,sí yo tengo familiares en esa ciudad
data\train\102\59.wav,sí con familiares míos
data\train\102\5.wav,sí es de pelo oscura
data\train\102\60.wav,me voy a quedar con unos primos que radican en esa ciudad
data\train\102\61.wav,tengo viajando mós de cinco días
data\train\102\62.wav,he tratado de llegar por las vías mós cortas
data\train\102\63.wav,sí sí los tengo permítame un segundo
data\train\102\64.wav,sí los tengo en la cajuela
data\train\102\65.wav,sí estó vigente hasta el momento
data\train\102\66.wav,sí pero los tengo guardados
data\train\102\67.wav,sí ahorita se lo muestro permítame un segundo
data\train\102\68.wav,no yo no cuento con carnet de identidad
data\train\102\69.wav,sí quiere que se la muestre
data\train\102\6.wav,si la piel es como la nieve
data\train\102\70.wav,desconozco de ello
data\train\102\71.wav,sí he ido varias veces esta es mi cuarta vez
data\train\102\72.wav,no yo no necesito atención médica pero mis compañeros sí lo ocupan
data\train\102\73.wav,sí me duele mi pierna
data\train\102\74.wav,no porque me golpeé antes de salir del edificio
data\train\102\75.wav,creo que no pero ahora estoy un poco asustado
data\train\102\7.wav,su piel es blanca como la nieve
data\train\102\8.wav,no ella no usa bigote
data\train\102\9.wav,son castaños
data\train\11\10.wav,castaños
data\train\11\11.wav,no usa barba de chiva
data\train\11\12.wav,castaño oscuro
data\train\11\13.wav,no usa barba
data\train\11\14.wav,su cabello es de color castaño
data\train\11\15.wav,él tiene los ojos color café
data\train\11\16.wav,mide un metro setenta centímetros
data\train\11\17.wav,es un hombre joven
data\train\11\18.wav,es un hombre
data\train\11\19.wav,nació en zumpango estado de méxico
data\train\11\1.wav,ayer por la tarde
data\train\11\20.wav,su nacionalidad es mexicana
data\train\11\21.wav,él es de religión católica
data\train\11\22.wav,pertenece al partido acción nacional
data\train\11\23.wav,sí es civil
data\train\11\24.wav,no no trabajamos juntos
data\train\11\25.wav,no es un ingeniero
data\train\11\26.wav,es fiel a los ideales de su partido
data\train\11\27.wav,él tiene la voz ronca
data\train\11\28.wav,no no presenta ningún tic nervioso
data\train\11\29.wav,efectivamente tiene un par de cicatrices
data\train\11\2.wav,en el parque
data\train\11\30.wav,tiene una camioneta suburban
data\train\11\31.wav,actualmente estó atravesando un problema
data\train\11\32.wav,no ninguno
data\train\11\33.wav,al parecer sólo porque es impuntual
data\train\11\34.wav,por impunctualidad
data\train\11\35.wav,sí hace tres años
data\train\11\36.wav,hace cinco años
data\train\11\37.wav,no no habla otro idioma
data\train\11\38.wav,no lo conoce
